DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2015,1.80,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2016,1.74,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2017,1.71,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2018,1.71,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2019,1.74,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2020,1.72,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2009,1.45,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2010,1.46,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2011,1.44,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2012,1.43,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2013,1.39,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2014,1.37,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2015,1.35,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2016,1.34,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2017,1.32,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2018,1.29,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2019,1.27,b
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IT,2020,1.24,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2009,1.50,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2010,1.50,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2011,1.55,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2012,1.60,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2013,1.59,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2014,1.63,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2015,1.70,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2016,1.69,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2017,1.63,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2018,1.63,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2019,1.61,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LT,2020,1.48,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2009,1.59,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2010,1.63,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2011,1.52,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2012,1.57,b
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2013,1.55,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2014,1.50,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2015,1.47,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2016,1.41,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2017,1.39,b
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2018,1.38,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2019,1.34,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LU,2020,1.36,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2009,1.46,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2010,1.36,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2011,1.33,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2012,1.44,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2013,1.52,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2014,1.65,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2015,1.70,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2016,1.74,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2017,1.69,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2018,1.60,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2019,1.61,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,LV,2020,1.55,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2009,1.52,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2010,1.56,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2011,1.46,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2012,1.51,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2013,1.49,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2014,1.52,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2015,1.50,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2016,1.50,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2017,1.43,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2018,1.42,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2019,1.34,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MK,2020,1.31,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2009,1.42,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2010,1.36,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2011,1.45,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2012,1.42,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2013,1.36,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2014,1.38,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2015,1.37,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2016,1.37,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2017,1.26,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2018,1.23,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2019,1.14,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,MT,2020,1.13,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,NL,2009,1.79,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,NL,2010,1.79,
